Course Number,Course Name,L,T,P,C,Name of the Instructors and Tutors,Capacity,Number of Students,Sections,Lecture,Tutorial,Lab,Link To Course Plan,Preferred Knowledge Equivalent to,Remarks,Minor in,HSS/BS elective
HS 491-XIV,Special Topics in HSS: Appreciation of Classical Indian Music,3,0,0,4,Pandit Mahendra D. Toke(I),,,,"L1,L2
(5/203)",,,https://drive.google.com/file/d/1gA8LPEdpc_oGKNILjPprSIC5FwUceLdS/view?usp=sharing,,,,
HS 492-XI,Special Topics in HSS: Real World Problem Solving: A Policy and Systems Approach,3,0,0,2,Raj Kumar (IAS)(I),,,,"N1,N2
(7/104)",,,https://docs.google.com/document/d/1pYypFrfUseaAOvJ2A7I2NisK0ENSf2ET/edit?usp=sharing&ouid=100884949085254248928&rtpof=true&sd=true,,,,
HS 510,Perspectives on Indian Civilization,3,0,0,4,V.N. Prabhakar(I),,,,"E1,E2
(7/205)",,,https://drive.google.com/file/d/1o0Hlk3svEl9JoLctbaj7uWi8OwvUmml-/view?usp=sharing,,,,
HS 512,Political Thought,3,0,0,4,Tanka Bahadur Subba(I),,,,"G1,G2
(7/205)",,,https://docs.google.com/document/d/1-mZGG5iu3RfLAODe5jS6O8ywv9V_QMkg/edit?usp=drive_link&ouid=112722193455628803222&rtpof=true&sd=true,,,,
HS 515,The Politics of the Environment,3,0,0,4,Ambika Aiyadurai(I),,,,"C1,C2
(7/105)",,,,,,,
HS 520,Ancient Indian Architecture,3,0,0,4,V.N. Prabhakar(I),,,,"M1,M2
(7/103)",,,https://drive.google.com/file/d/1_RAssS0RYLo_cHL8xMaWWIMtu2DPDy2D/view?usp=sharing,,,,
HS 523,Quantitative Research Methods in Social Sciences,3,1,0,4,Praharsh Mohanlal Patel(I+T),,,,"B1,B2
(7/203)","D2
(7/210)",,Syllabus_Quantitative Methods.docx,,,,
HS 524,Qualitative Research Methods,3,0,0,4,Ambika Aiyadurai(I),,,,"M1,M2
(11/205)",,,https://drive.google.com/file/d/1TfdWZS0PBr0eLMgLXqznxEMHsml2XuKO/view?usp=drive_link,,,,
HS 526,"Education, Technology and Society",3,0,0,4,Aditi Kothiyal(I),,,,"J1,J2
(7/102)",,,ETandS.pdf,,,,
HS 610,A Critical Journey Through Select Thoughts and Theories,3,0,0,4,Arnapurna Rath(I),,,,"D1,D2
(7/204)",,,https://drive.google.com/file/d/1kqPxfAxG7QwbIJ36_GEPvnQyHkaAkniV/view?usp=sharing,,,,
HS 631,Digital Cultures and New Media,3,0,0,4,Arnapurna Rath(I),,,,"M1,M2
(11/204)",,,https://sites.iitgn.ac.in/digitalstudies/,,,,
HS 633,Scarred Nations: Partition in the Indian Subcontinent,3,0,0,4,Madhumita Sengupta(I),,,,"L1,L2
(7/102)",,,https://iitgnacin-my.sharepoint.com/:b:/g/personal/madhumitasg_iitgn_ac_in/IQBdJ0hTz8IER6rXG_FvDVuNAaqflnhH2Zcubjz2xkzgmtg?e=2pXgXW,,,,
HS 647,"Literature, Theory and Social Context",3,0,0,4,Arka Chattopadhyay(I),,,,"I2,J2
(7/208)",,,https://docs.google.com/document/d/1bJY9XxKFeaMph9iXwo6s0XXEMsWDSGLk/edit?usp=drive_link&ouid=103637075532236333832&rtpof=true&sd=true,,,,
HS 651,Critical Perspectives in Sociology,3,0,0,4,Tanka Bahadur Subba(I),,,,"N1,N2
(7/206)",,,https://docs.google.com/document/d/1nOk4PSP-NOLFFYGJxB7eqqQy7ZY_Ypri/edit?usp=drive_link&ouid=112722193455628803222&rtpof=true&sd=true,,,,
DES 601,Visual Design for Academia,1.5,0,3,4,Sameer Sahasrabudhe(I+L),20,,,"M2
(13/125)",,"M1,P1
(13/125)",https://drive.google.com/file/d/1NYHulfB1a-ZwDvPDA0ZaO4IXb9kwzx_w/view?usp=drive_link,,,,
