Course Number,Course Name,L,T,P,C,Name of the Instructors and Tutors,Capacity,Number of Students,Sections,Lecture,Tutorial,Lab,Link To Course Plan,Preferred Knowledge Equivalent to,Remarks,Minor in,HSS/BS elective
MSE 204,Transport Phenomena in Materials Engineering,3,1,0,4,Amit Arora(I+T),,,,"J1,K2
(Harsha Patel Learning Theatre)","H2
(Harsha Patel Learning Theatre)",,https://drive.google.com/file/d/1oIz0DE_8DJTK-ftPR2d0EVA2-LK0OqJG/view?usp=sharing,,,,
ME 206,Statics and Dynamics,2,1,1.5,4,Harish J Palanthandalam-Madapusi(I+T),,,,"M1,M2
(7/203)",,"K2
(ME Lab)",https://drive.google.com/file/d/19qbhYdYZfvrpdxWHPdtBFGwi6EbErrE7/view?usp=sharing,,,,
EE 322,Analog & Mixed Signal Circuits,2,1,1.5,4,"Madhav Kiritkumar Pathak(I+T+L),Dinesh Kumar Sharma(T+L)",,,,"C2,H1
(Surendra C Sheth Learning Theatre,7/208)",,"L2,K2
(EE Lab)",https://docs.google.com/document/d/1qkB6qoyhYeKNyaIr75kmvdZ5FmPwvor_FvCq_VxoJDc/edit?usp=sharing,,,,
ES 339,Integrated Circuit Fabrication Lab,0,0,3,2,"Sandip Lashkare(L),Anagh Bhaumik(L)",,,,,,"I1,K1,K2,L2
(5/202)",https://iitgnacin-my.sharepoint.com/:b:/g/personal/sandip_lashkare_iitgn_ac_in/IQC-Q8UEp9RdS7xY-9_JDDiCAZeZawdAASqKKHe8b5mAPz4?e=TbDY2D,,,,
PE 103,Physical Education,0,0,0,0,,,,,,,,,,,,
IN 103,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
ES XXX,Science Basket Course,-,-,-,4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
5th Sem | B Tech Artificial Intelligence,,,,,,,,,,,,,,,,,
HS 151,Economics,3,1,0,4,"Deepak Singhania(I),Praharsh Mohanlal Patel(T)",,,,"A1,A2
(Jasubhai Auditorium)","I2
(Jasubhai Auditorium,7/101,7/102,7/103,7/105,7/107,7/110,7/201,7/204,7/205)",,https://drive.google.com/file/d/1rHrc62tPltvkY5TUoBjNl3fV_2tuz-SC/view?usp=sharing,,,,
CS 328,Introduction to Data Science,3,1,0,4,Nirmal Kumar Sancheti(I+T),,,,"N1,N2
(10/103)","L2
(10/103)",,https://docs.google.com/document/d/15sq5ECE9jmMo3EaWCX7aa3YQoy7Z2kkFyY2EPUM03E8/edit?usp=sharing,,,,
CS 329,Foundations of AI: Multiagent Systems,3,0,0,4,Manisha Padala(I),,,,"P1,P2
(10/103)",,,https://sites.google.com/iitgn.ac.in/mas,,,,
ES 335,Machine Learning,3,1.5,0,4,"Udit Bhatia(I+T),Krishna Prasad Miyapuram(T)",,,,"J1,K2
(10/103)","B2
(Jagdish Patel Learning Theatre,Harsha Patel Learning Theatre)",,https://ml2026.floodresq.com/,,,,
ES 678,Machine Learning,3,1.5,0,4,"Udit Bhatia(I+T),Krishna Prasad Miyapuram(T)",,,,"J1,K2
(10/103)","B2
(Jagdish Patel Learning Theatre,Harsha Patel Learning Theatre)",,https://ml2026.floodresq.com/,,,,
HS XXX,HSS Elective,,,,4,,,,,,,,,,,,
,Basic Science Elective,,,,4,,,,,,,,,,,,
IN 105,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
7th Sem | B Tech Artificial Intelligence,,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
HS 3XX,HSS Elective,,,,,,,,,,,,,,,,
IN 107,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
5th Sem | B Tech Chemical Engineering,,,,,,,,,,,,,,,,,
HS 151,Economics,3,1,0,4,"Deepak Singhania(I),Praharsh Mohanlal Patel(T)",,,,"A1,A2
(Jasubhai Auditorium)","I2
(Jasubhai Auditorium,7/101,7/102,7/103,7/105,7/107,7/110,7/201,7/204,7/205)",,https://drive.google.com/file/d/1rHrc62tPltvkY5TUoBjNl3fV_2tuz-SC/view?usp=sharing,,,,
CL 313,Chemical Reaction Engineering - II,2,1,0,3,Kabeer Jasuja(I+T),,,,"G1,G2
(7/108)","G1,G2
(7/108)",,https://docs.google.com/document/d/1wRIrr6PhWTeONjRrKQFQQWRuifkiFnaI/edit?usp=sharing&ouid=108844359824993233057&rtpof=true&sd=true,,,,
CL 314,Separation Processes - I,2,1,0,3,Karthik Subramaniam Pushpavanam(I+T),,,,"E1,E2
(10/102)","E1,E2
(10/102)",,https://docs.google.com/document/d/1ICMYI2Qfc9QH-pgdEGNjoOSK96hQWvn3Z5AyFS9I81g/edit?usp=sharing,,,,
CL 315,Process Dynamics and Control,2,1,0,3,Mithun Radhakrishna(I+T),,,,"D1,D2
(10/102)","D1,D2
(10/102)",,https://iitgnacin-my.sharepoint.com/:b:/g/personal/mithunr_iitgn_ac_in/IQByz_SFR-KSSoE2gxcXu8QLAVICzthzdljJleO1EIf1sTk?e=6Ygd0m,,,,
CL 326,Integrated Chemical Engineering Lab-I,0,0,4.5,3,Biswajit Saha(L),,,,,,"J1,L1,N1
(CL Lab)",https://iitgnacin-my.sharepoint.com/:b:/g/personal/bsaha_iitgn_ac_in/IQB_Rgl0TgbkToHNbFSrEWxeAaWb4yVCjqBd423XZHJWJLU?e=9eNIBR,,,,
CL XXX,Discipline Elective,,,,4,,,,,,,,,,,,
,Basic Science Elective,,,,4,,,,,,,,,,,,
IN 105,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
7th Sem | B Tech Chemical Engineering,,,,,,,,,,,,,,,,,
CL XXX,Discipline Elective,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
IN 107,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
5th Sem | B Tech Civil Engineering,,,,,,,,,,,,,,,,,
HS 151,Economics,3,1,0,4,"Deepak Singhania(I),Praharsh Mohanlal Patel(T)",,,,"A1,A2
(Jasubhai Auditorium)","I2
(Jasubhai Auditorium,7/101,7/102,7/103,7/105,7/107,7/110,7/201,7/204,7/205)",,https://drive.google.com/file/d/1rHrc62tPltvkY5TUoBjNl3fV_2tuz-SC/view?usp=sharing,,,,
CE 301,Soil Mechanics,3,1,2,5,"Amit Prashant(I+T),Ajanta Sachan(L)",,,,"G1,G2
(7/103)","H2
(7/101)","L2,N2
(CE Lab)",https://1drv.ms/b/c/7601c78936386427/IQDUhDvHo6k_R5vZuHa5EHiKAeFE9X3U2gUCeJrpU_asg9U?e=isUyUj,,,,
CE 312,Design of Steel Structures,3,1,0,4,Gaurav(I+T),,,,"D1,D2
(7/101)","B2
(7/210)",,https://gauravs.people.iitgn.ac.in/310.1_CE312_Fall2026.html,,,,
CE 310,Hydrology and Hydraulics,3,0,1.5,4,Pranab Kumar Mohapatra(I+L),,,,"C1,C2
(7/204)",,"J1
(7/204)",https://docs.google.com/document/d/1nDW86dlCRdRpFR7xnlAI3Jz91guQkLuM/edit?usp=sharing&ouid=108119040002855153213&rtpof=true&sd=true,,,,
CE 404,Transportation Engineering,3,0,0,4,Sushobhan Sen(I),,,,"F1,F2
(7/204)",,,https://iitgnacin-my.sharepoint.com/:w:/g/personal/sushobhan_sen_iitgn_ac_in/IQA2R12xjvaGTas2xfLWiV5uAbAFhNbQf7YT37rj582Owp0?e=9uHMCf,,,,
HS XXX,HSS Elective,3,0,0,4,,,,,,,,,,,,
IN 105,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
7th Sem | B Tech Civil Engineering,,,,,,,,,,,,,,,,,
HS XXX,HSS Elective,,,,,,,,,,,,,,,,
,BS Elective,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
IN 107,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
5th Sem | B Tech Computer Science and Engineering,,,,,,,,,,,,,,,,,
HS 151,Economics,3,1,0,4,"Deepak Singhania(I),Praharsh Mohanlal Patel(T)",,,,"A1,A2
(Jasubhai Auditorium)","I2
(Jasubhai Auditorium,7/101,7/102,7/103,7/105,7/107,7/110,7/201,7/204,7/205)",,https://drive.google.com/file/d/1rHrc62tPltvkY5TUoBjNl3fV_2tuz-SC/view?usp=sharing,,,,
CS 202,Software Tools and Techniques for CSE,1.5,0,3,4,Abhishek Bichhawat(I+L),,,,"D1
(Jayshree S Sheth Learning Theatre)",,"J2,M2
(Harsha Patel Learning Theatre,10/204)",https://docs.google.com/document/d/14IvvU2aCu9HGfI2FIht64dEG_BJjAqhoZMftEI5PWis/edit?usp=sharing,,,,
CS 330,Operating Systems,3,0,1.5,4,Balagopal Komarath(I+L),,,,"E1,E2
(Surendra C Sheth Learning Theatre)",,"H1
(10/203,10/204)",https://docs.google.com/document/d/10uyNKy-2LCnDZ7eyVu8cxFakN7IF2OFL036-TkairYU/edit?usp=sharing,,,,
CS 331,Computer Networks,3,1.5,0,4,Sameer G Kulkarni(I+T),,,,"G1,G2
(Surendra C Sheth Learning Theatre)","H2
(Surendra C Sheth Learning Theatre)",,https://docs.google.com/document/d/19Dx-AmSWw_Qc1AgwQF7ibPd8231zBGBD/edit?usp=sharing&ouid=105240883128772122406&rtpof=true&sd=true,,,,
CS 329,Foundations of AI: Multiagent Systems,3,0,0,4,Manisha Padala(I),,,,"P1,P2
(10/103)",,,https://sites.google.com/iitgn.ac.in/mas,,,,
HS 3XX,HSS Elective,,,,,,,,,,,,,,,,
,BS Elective,,,,,,,,,,,,,,,,
IN 105,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
7th Sem | B Tech Computer Science and Engineering,,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
HS 3XX,HSS Elective,,,,,,,,,,,,,,,,
IN 107,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
5th Sem | B Tech Electrical Engineering,,,,,,,,,,,,,,,,,
HS 151,Economics,3,1,0,4,"Deepak Singhania(I),Praharsh Mohanlal Patel(T)",,,,"A1,A2
(Jasubhai Auditorium)","I2
(Jasubhai Auditorium,7/101,7/102,7/103,7/105,7/107,7/110,7/201,7/204,7/205)",,https://drive.google.com/file/d/1rHrc62tPltvkY5TUoBjNl3fV_2tuz-SC/view?usp=sharing,,,,
EE 312,Engineering Electromagnetics,3,1,0,4,Ravi Hedge(I+T),,,,"G1,G2
(Jayshree S Sheth Learning Theatre)","H2
(7/208)",,https://docs.google.com/document/d/1Mitg2tScGQkx5Uf_YOHr7_RVZp7UcnQsSYWoLQXkq0I/edit?usp=drivesdk,,,,
EE 322,Analog & Mixed Signal Circuits,2,1,1.5,4,"Madhav Kiritkumar Pathak(I+T+L),Dinesh Kumar Sharma(T+L)",,,,"C2,H1
(Surendra C Sheth Learning Theatre,7/208)",,"L2,K2
(EE Lab)",https://docs.google.com/document/d/1qkB6qoyhYeKNyaIr75kmvdZ5FmPwvor_FvCq_VxoJDc/edit?usp=sharing,,,,
EE 323,Digital Signal Processing,3,1.5,0,4,"Nithin George(I+T),Kartik Patel(T)",,,,"D1,D2
(Jagdish Patel Learning Theatre)","F1
(Jagdish Patel Learning Theatre,Harsha Patel Learning Theatre)",,https://drive.google.com/file/d/1MSyskRyVJeFJrdMGKj3wuoTEcuO58PD_/view?usp=sharing,,,,
EE 333,Power Electronics,2,1,1.5,4,Pallavi Bharadwaj(I+T+L),,,,"E1,E2
(Jagdish Patel Learning Theatre)","C1
(Harsha Patel Learning Theatre)","I2,M1,J2,M2
(EE Lab)",https://docs.google.com/document/d/1kpWiMQ6CJZw0knrwqqR6tLwOAW01mH4WOPDg9DRpNEg/edit?usp=sharing,,,,
HS XXX,HSS Elective,3,0,0,4,,,,,,,,,,,,
IN 105,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
7th Sem | B Tech Electrical Engineering,,,,,,,,,,,,,,,,,
HS XXX,HSS Elective (choose from list below),,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
,Basic Science Elective,,,,,,,,,,,,,,,,
IN 107,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
5th Sem | B Tech Integrated Circuit Design & Technology,,,,,,,,,,,,,,,,,
HS 151,Economics,3,1,0,4,"Deepak Singhania(I),Praharsh Mohanlal Patel(T)",,,,"A1,A2
(Jasubhai Auditorium)","I2
(Jasubhai Auditorium,7/101,7/102,7/103,7/105,7/107,7/110,7/201,7/204,7/205)",,https://drive.google.com/file/d/1rHrc62tPltvkY5TUoBjNl3fV_2tuz-SC/view?usp=sharing,,,,
MSE 352,Material Characterization Techniques,1.5,0,3,4,Emila Panda(I+L),,,,"N2,P2
(10/102)",,"L1,N1
(MSE Lab)",https://drive.google.com/file/d/1XKogvsDbG2UkVcRGtYrwvWQRT6yDCJ0p/view?usp=drive_link,,,,
ES 339,Integrated Circuit Fabrication Lab,0,0,3,2,"Sandip Lashkare(L),Anagh Bhaumik(L)",,,,,,"I1,K1,K2,L2
(5/202)",https://iitgnacin-my.sharepoint.com/:b:/g/personal/sandip_lashkare_iitgn_ac_in/IQC-Q8UEp9RdS7xY-9_JDDiCAZeZawdAASqKKHe8b5mAPz4?e=TbDY2D,,,,
,Discipline Elective #1,-,-,-,4,,,,,,,,,,,,
,Discipline Elective #2,-,-,-,4,,,,,,,,,,,,
ES XXX,Science Basket Course,-,-,-,4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
5th Sem | B Tech Mechanical Engineering,,,,,,,,,,,,,,,,,
HS 151,Economics,3,1,0,4,"Deepak Singhania(I),Praharsh Mohanlal Patel(T)",,,,"A1,A2
(Jasubhai Auditorium)","I2
(Jasubhai Auditorium,7/101,7/102,7/103,7/105,7/107,7/110,7/201,7/204,7/205)",,https://drive.google.com/file/d/1rHrc62tPltvkY5TUoBjNl3fV_2tuz-SC/view?usp=sharing,,,,
ES 245,Control Systems,3,1.5,0,4,Vineet Vashista(I+T),,,,"D1,D2
(Harsha Patel Learning Theatre)","H1
(Harsha Patel Learning Theatre)",,https://drive.google.com/file/d/16b4Jey_9XhKRdaFEoyUjCdtEDLl9gZtz/view?usp=sharing,,,,
ME 333,Mechanics of Materials,2,1,1,3,"Harini Subramanian(I+T),Ravi Sastri Ayyagari(T+L)",,,,"H2,F2
(7/108)","J2
(7/204,7/205)",,https://iitgnacin-my.sharepoint.com/:w:/g/personal/harini_subramanian_iitgn_ac_in/IQA3aYYcfycwTZ19p75hjFyLASY4KgNMHCupipwluzcyI50?e=90LUzj,,,,
ME 334,Heat and Mass Transfer,3,1,1,4,"Atul Bhargav(I+T),Soumyadip Sett(L)",,,,"B1,C2
(Jagdish Patel Learning Theatre)","C1
(10/104)","F1
(10/104)",https://docs.google.com/spreadsheets/d/1xpeBE-BrDwbWADbGkZL81OL_LJQp8lJkLuGkDOvilVo/edit?gid=251186736#gid=251186736,,,,
